Prenom,Nom,Site,Département,Service,fonction,Date de naissance,Téléphone fixe,Téléphone portable
Nordman,Polock,Lyon,RH,Gestion des performances,Agent RH,15/06/1999,0443210987,-
Ophélie,Poulin,Lyon,RH,Formation,Formateur,17/05/1980,0445678901,0675781283
Blanche,Renaud,Lyon,RH,Recrutement,Agent RH,29/04/1977,0487654321,-
Mohamed,Al-Amin,Lyon,Service Généraux,Logistique,Agent logistique,29/11/1998,0467890123,0604266370
Isabella,Da Silva,Lyon,Service Généraux,Logistique,Agent logistique,05/11/1976,0440987654,0766638327
Baptiste,Gros,Lyon,Service Généraux,Logistique,Agent logistique,02/10/1989,0412345678,0764635179
Elena,Ivanova,Lyon,Service Généraux,Gestion Immobilière,Gestionnaire immobilier,09/12/1992,0445678901,-
Nathan,Le Roux,Lyon,Service Généraux,Logistique,Agent logistique,02/10/1989,0412345678,0630771729
Noémie,Lerocher,Lyon,Service Généraux,Logistique,Agent logistique,01/04/1999,0432109876,0698121096
Julien,Marie,Lyon,Service Généraux,Logistique,Responsable Logistique,11/09/1992,0476543210,0725806448
Jérôme,Perrot,Lyon,Service Généraux,Logistique,Agent logistique,17/11/1980,0421098765,0734782819
Charlotte,Prevost,Lyon,Service Généraux,Logistique,Agent logistique,08/03/1970,0421098765,0702281809
Arjun,Singh,Lyon,Service Généraux,Gestion Immobilière,Gestionnaire immobilier,23/07/1982,0456789012,-
Amelia,Smith,Lyon,Service Généraux,Logistique,Agent logistique,17/12/1970,0456789012,0686930017
Hiroto,Takahashi,Lyon,Service Généraux,Logistique,Agent logistique,31/08/1975,0487654321,0603807402
Sophie,Clement,Lyon,Service Juridique,Contrats,Responsable Juridique,15/06/1998,0476543210,0773550482
Ugo,Dumont,Lyon,Service Juridique,Contrats,Juriste,22/05/1976,0423456789,-
Thomas,Gauthier,Lyon,Service Juridique,Contrats,Juriste,15/02/1994,0434567890,-
Véronique,Lopez,Lyon,Service Juridique,Contrats,Juriste,28/02/1974,0434567890,-
Romain,Mathieu,Lyon,Service Juridique,Contentieux,Juriste,18/04/1982,0445678901,-
Patricia,Morin,Lyon,Service Juridique,Contentieux,Juriste,07/09/1981,0412345678,-
Nathalie,Nicolas,Lyon,Service Juridique,Contentieux,Juriste,14/07/1974,0421098765,-
Oscar,Perrin,Lyon,Service Juridique,Contentieux,Juriste,04/08/1998,0487654321,-
Béatrice,Bonnet,Lyon,Systèmes d'Information,Développement logiciel,Développeur,20/10/1999,0421098765,-
Pierre,David,Lyon,Systèmes d'Information,Data,Data scientist,23/12/1989,0456789012,-
Cyril,François,Lyon,Systèmes d'Information,Développement logiciel,Développeur,31/01/1989,0487654321,-
Tina,Le Hecourt,Lyon,Systèmes d'Information,-,Directrice informatique,19/06/1986,0476543210,0699164527
Hassan,Liffite,Lyon,Systèmes d'Information,Data,Data scientist,13/09/1995,0467890123,-
Rosalie,Roux,Lyon,Systèmes d'Information,Data,Data scientist,20/12/1997,0456789012,-
Nicolas,Bertrand,Lyon,Ventes et Développement Commercial,ADV,Gestionnaire ADV,30/05/1991,0476543210,0785401077
Juliette,Bonnet,Lyon,Ventes et Développement Commercial,ADV,Gestionnaire ADV,11/03/1983,0445678901,0768119524
Camille,Fournier,Lyon,Ventes et Développement Commercial,ADV,Gestionnaire ADV,20/09/1970,0456789012,0705492767
Élise,François,Lyon,Ventes et Développement Commercial,ADV,Gestionnaire ADV,03/03/1995,0487654321,0701519889
Julie,Garcia,Lyon,Ventes et Développement Commercial,ADV,Gestionnaire ADV,24/06/1976,0412345678,0686992516
Thomas,Girard,Lyon,Ventes et Développement Commercial,ADV,Gestionnaire ADV,10/04/1977,0412345678,0718755210
Antoine,Lambert,Lyon,Ventes et Développement Commercial,ADV,Gestionnaire ADV,17/03/1990,0487654321,0602772816
Louis,Laurent,Lyon,Ventes et Développement Commercial,ADV,Responsable ADV,05/08/1976,0423456789,0668251481
Laura,David,Lyon,Ventes et Développement Commercial,B2B,Commercial,22/03/1971,0440987654,0791275326
Clara,Dubois,Lyon,Ventes et Développement Commercial,B2B,Commercial,30/03/1991,0476543210,0611551242
Libou,Khamin,Lyon,Ventes et Développement Commercial,B2B,Commercial,16/08/1989,0432109876,0698556201
Jessy,Lair,Lyon,Ventes et Développement Commercial,B2B,Commercial,16/04/1971,0440987654,0633376803
Théo,Laurent,Lyon,Ventes et Développement Commercial,B2B,Commercial,28/05/1988,0421098765,0754982135
Èsteban,Lomez,Lyon,Ventes et Développement Commercial,B2B,Commercial,30/08/1976,0423456789,0778840637
Jeremy,Lorrain,Lyon,Ventes et Développement Commercial,B2B,Commercial,05/04/1979,0412345678,0788960245
Alice,Martin,Lyon,Ventes et Développement Commercial,B2B,Commercial,04/05/1989,0456789012,0792624936
Andréa,Marton,Lyon,Ventes et Développement Commercial,B2B,Commercial,22/12/1995,0445678901,0685410356
Léa,Michel,Lyon,Ventes et Développement Commercial,B2B,Commercial,28/08/1979,0434567890,0612044334
Elena,Robert,Lyon,Ventes et Développement Commercial,B2B,Responsable B2B,06/01/1990,0487654321,0635656037
David,Thomas,Lyon,Ventes et Développement Commercial,B2B,Commercial,30/12/1989,0467890123,0611737329
Hugo,Durand,Lyon,Ventes et Développement Commercial,B2C,Commercial,13/01/1974,0445678901,0676900215
Isabelle,Leroy,Lyon,Ventes et Développement Commercial,B2C,Commercial,11/07/1982,0412345678,0635913014
Jérôme,Moreau,Lyon,Ventes et Développement Commercial,B2C,Commercial,15/02/1981,0445678901,0743570154
Gabrielle,Petit,Lyon,Ventes et Développement Commercial,B2C,Commercial,08/06/1984,0476543210,0752201129
Fabien,Richard,Lyon,Ventes et Développement Commercial,B2C,Commercial,25/01/1994,0412345678,0625993239
Karine,Simon,Lyon,Ventes et Développement Commercial,B2C,Responsable B2C,09/08/1998,0421098765,0615375578
Chloé,Bernard,Lyon,Ventes et Développement Commercial,Développement internationnal,Commercial,05/02/1988,0456789012,0631423219
Sarah,Durand,Lyon,Ventes et Développement Commercial,Développement internationnal,Directrice Commercial,27/06/1973,0476543210,0744720692
Hugo,Leroy,Lyon,Ventes et Développement Commercial,Développement internationnal,Commercial,21/10/1995,0421098765,0799311104
Alice,Moreau,Lyon,Ventes et Développement Commercial,Développement internationnal,Commercial,14/03/1976,0432109876,0737563611
Maxime,Petit,Lyon,Ventes et Développement Commercial,Développement internationnal,Commercial,14/07/1980,0434567890,0724827047
Emma,Dupont,Lyon,Ventes et Développement Commercial,Grands Comptes,Commercial,18/06/1987,0487654321,0710917834
Olivia,Garcia,Lyon,Ventes et Développement Commercial,Grands Comptes,Commercial,03/01/1976,0456789012,0723385865
Mélanie,Lefebvre,Lyon,Ventes et Développement Commercial,Grands Comptes,Responsable Grands Comptes,06/12/1973,0456789012,0779466973
Lucas,Martin,Lyon,Ventes et Développement Commercial,Grands Comptes,Commercial,09/08/1986,0467890123,0634335136
Olga,Üt,Lyon,Ventes et Développement Commercial,Grands Comptes,Commercial,22/02/1971,0412345678,0729966375
Luna,García,Lyon,Ventes et Développement Commercial,Service achat,Acheteur,05/12/1999,0434567890,0740080910
Oliver,Johnson,Lyon,Ventes et Développement Commercial,Service achat,Responsable achat,16/02/1991,0434567890,0733632584
Dmitri,Orlov,Lyon,Ventes et Développement Commercial,Service achat,Acheteur,12/07/1982,0432109876,0665247366
Marc,Roussel,Lyon,Ventes et Développement Commercial,Service achat,Acheteur,20/06/1985,0476543210,0704322288
Fatima,Zahra,Lyon,Ventes et Développement Commercial,Service achat,Acheteur,21/06/1978,0445678901,0698997028
Raphaël,Lefebvre,Lyon,Ventes et Développement Commercial,Service Client,Agent Client,03/02/1973,0467890123,0681608883
Marie,Leroux,Lyon,Ventes et Développement Commercial,Service Client,Agent Client,06/06/1981,0456789012,0686781565
Mathieu,Morel,Lyon,Ventes et Développement Commercial,Service Client,Agent Client,15/05/1987,0412345678,0764889123
Alexandre,Roux,Lyon,Ventes et Développement Commercial,Service Client,Responsable Service Client,05/09/1993,0421098765,0730476005
Manon,Vincent,Lyon,Ventes et Développement Commercial,Service Client,Agent Client,13/04/1974,0440987654,0749174856
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
